ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
215831_at	0.4957132	1.99e-01	1.2868329	-5.1855	0.24427758		
215730_at	0.4957132	1.99e-01	-1.2868158	-5.18552	-0.16154525	VGLL1	vestigial like family member 1
209591_s_at	0.4958081	1.99e-01	-1.2866424	-5.18573	-0.23642634	BMP7	bone morphogenetic protein 7
221496_s_at	0.4959382	1.99e-01	-1.2864284	-5.18598	-0.22458047	TOB2	transducer of ERBB2, 2
213497_at	0.4961251	1.99e-01	-1.2861489	-5.18632	-0.11424595	ABTB2	ankyrin repeat and BTB domain containing 2
207035_at	0.4961787	1.99e-01	-1.2860232	-5.18647	-0.07984289	SLC30A3	solute carrier family 30 member 3
209804_at	0.4962231	2.00e-01	-1.285908	-5.18661	-0.15899885	DCLRE1A	DNA cross-link repair 1A
219091_s_at	0.4965398	2.00e-01	-1.285479	-5.18712	-0.11259781	MMRN2	multimerin 2
208496_x_at	0.4966956	2.00e-01	1.2852354	-5.18741	0.27744901	HIST1H3G	histone cluster 1, H3g
201615_x_at	0.4969284	2.00e-01	-1.2848699	-5.18785	-0.18619136	CALD1	caldesmon 1
218607_s_at	0.4969284	2.00e-01	-1.2848393	-5.18789	-0.06966226	SDAD1	SDA1 domain containing 1
216997_x_at	0.4969288	2.00e-01	-1.284775	-5.18797	-0.29476109	TLE4	transducin like enhancer of split 4
216080_s_at	0.4970184	2.00e-01	-1.2846078	-5.18817	-0.25905155	FADS3	fatty acid desaturase 3
220656_at	0.4971121	2.00e-01	-1.284436	-5.18837	-0.3294699	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit
211930_at	0.497269	2.00e-01	-1.2841913	-5.18866	-0.09987619	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3
219088_s_at	0.49729	2.00e-01	-1.2841033	-5.18877	-0.12631799	ZNF576	zinc finger protein 576
214658_at	0.4973192	2.00e-01	1.2838636	-5.18906	0.1105515	TMED7-TICAM2///TMED7	TMED7-TICAM2 readthrough///transmembrane p24 trafficking protein 7
204419_x_at	0.4973192	2.00e-01	-1.2838075	-5.18912	-0.15801898	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
201927_s_at	0.4973192	2.00e-01	-1.2837929	-5.18914	-0.23323986	PKP4	plakophilin 4
213192_at	0.4973192	2.00e-01	1.2837861	-5.18915	0.18003179	THAP3	THAP domain containing 3
214178_s_at	0.4973192	2.00e-01	-1.2837503	-5.18919	-0.11615635	SOX2	SRY-box 2
210372_s_at	0.4973905	2.00e-01	-1.2835859	-5.18939	-0.17386894	TPD52L1	tumor protein D52-like 1
209553_at	0.4973905	2.00e-01	1.2835405	-5.18944	0.06305242	VPS8	VPS8, CORVET complex subunit
213507_s_at	0.497533	2.00e-01	1.2833124	-5.18972	0.08491823	KPNB1	karyopherin subunit beta 1
209165_at	0.4976272	2.00e-01	-1.2831401	-5.18992	-0.08032883	AATF	apoptosis antagonizing transcription factor
220983_s_at	0.4978698	2.01e-01	-1.282797	-5.19033	-0.22588407	MIR612///NEAT1	microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)
212630_at	0.4979433	2.01e-01	1.28264	-5.19052	0.1532382	EXOC3	exocyst complex component 3
212955_s_at	0.4979433	2.01e-01	1.2825847	-5.19059	0.07932773	POLR2I	RNA polymerase II subunit I
219697_at	0.4980208	2.01e-01	1.2823817	-5.19083	0.10696062	HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2
210868_s_at	0.4980208	2.01e-01	1.2823258	-5.1909	0.12106581	ELOVL6	ELOVL fatty acid elongase 6
215402_at	0.4980208	2.01e-01	1.282304	-5.19092	0.22891056	APPBP2	amyloid beta precursor protein binding protein 2
206526_at	0.4981129	2.01e-01	1.2821341	-5.19113	0.28134746	RIBC2	RIB43A domain with coiled-coils 2
218834_s_at	0.4981155	2.01e-01	1.2820673	-5.19121	0.15089111	TMEM132A	transmembrane protein 132A
207231_at	0.4982779	2.01e-01	1.281799	-5.19153	0.16235086	DZIP3	DAZ interacting zinc finger protein 3
209287_s_at	0.4982779	2.01e-01	-1.2816875	-5.19166	-0.10342258	CDC42EP3	CDC42 effector protein 3
221140_s_at	0.4982779	2.01e-01	-1.2816273	-5.19173	-0.0903671	GPR132	G protein-coupled receptor 132
205930_at	0.4982779	2.01e-01	1.2816251	-5.19173	0.07509698	GTF2E1	general transcription factor IIE subunit 1
216783_at	0.4983985	2.01e-01	1.2814225	-5.19198	0.13844397		
220658_s_at	0.4984078	2.01e-01	-1.2812505	-5.19218	-0.19919604	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2
214476_at	0.4984078	2.01e-01	-1.2812401	-5.19219	-0.19469672	TFF2	trefoil factor 2
200784_s_at	0.4984078	2.01e-01	-1.2812204	-5.19222	-0.21322221	LRP1	LDL receptor related protein 1
209711_at	0.4985254	2.01e-01	-1.2810213	-5.19246	-0.10003271	SLC35D1	solute carrier family 35 member D1
209145_s_at	0.4985281	2.01e-01	-1.2809543	-5.19254	-0.21406863	CBFA2T2	CBFA2/RUNX1 translocation partner 2
220452_x_at	0.4985928	2.01e-01	-1.2807949	-5.19273	-0.08121806		
211170_s_at	0.4985928	2.01e-01	-1.2807217	-5.19281	-0.16541905	PDE10A	phosphodiesterase 10A
212046_x_at	0.4985928	2.01e-01	1.2806886	-5.19285	0.14321775	MAPK3	mitogen-activated protein kinase 3
201722_s_at	0.4986197	2.01e-01	1.2805939	-5.19297	0.10065502	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1
219222_at	0.4986754	2.01e-01	1.280466	-5.19312	0.1159998	RBKS	ribokinase
217670_at	0.4987388	2.01e-01	1.2802768	-5.19334	0.1920738	RPLP2	ribosomal protein lateral stalk subunit P2
213751_at	0.4987388	2.01e-01	-1.2802235	-5.19341	-0.19549015	PPP1R37	protein phosphatase 1 regulatory subunit 37
218758_s_at	0.4987388	2.02e-01	-1.2801875	-5.19345	-0.16833801	RRP1	ribosomal RNA processing 1
210611_s_at	0.4987388	2.02e-01	1.2800814	-5.19358	0.2455809	DTNA	dystrobrevin alpha
215749_s_at	0.4987388	2.02e-01	1.2800744	-5.19359	0.07047146	GORASP1	golgi reassembly stacking protein 1
208336_s_at	0.4987992	2.02e-01	-1.2799411	-5.19374	-0.10282765	TECR	trans-2,3-enoyl-CoA reductase
211810_s_at	0.498977	2.02e-01	1.2796729	-5.19406	0.09932566	GALC	galactosylceramidase
215609_at	0.4991353	2.02e-01	-1.2794269	-5.19436	-0.21101214		
217324_at	0.4991573	2.02e-01	-1.2793379	-5.19446	-0.09296743		
208766_s_at	0.4991698	2.02e-01	1.2791537	-5.19468	0.05586785	HNRNPR	heterogeneous nuclear ribonucleoprotein R
217832_at	0.4991698	2.02e-01	-1.2791356	-5.19471	-0.09997411	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein
221201_s_at	0.4991698	2.02e-01	-1.2791325	-5.19471	-0.21758333	ZNF155	zinc finger protein 155
206280_at	0.4991709	2.02e-01	-1.2790435	-5.19482	-0.14691741	CDH18	cadherin 18
209627_s_at	0.4991709	2.02e-01	-1.2789662	-5.19491	-0.15737774	OSBPL3	oxysterol binding protein like 3
214584_x_at	0.4991709	2.02e-01	-1.2789152	-5.19497	-0.1690027	ACACB	acetyl-CoA carboxylase beta
221937_at	0.4991709	2.02e-01	-1.2788243	-5.19508	-0.09184699	SYNRG	synergin, gamma
218716_x_at	0.4991709	2.02e-01	-1.2788127	-5.19509	-0.0713712	MTO1	mitochondrial tRNA translation optimization 1
206078_at	0.499346	2.02e-01	-1.2785363	-5.19542	-0.11497125	KALRN	kalirin, RhoGEF kinase
222126_at	0.499346	2.02e-01	1.2784332	-5.19554	0.09133408	AGFG2	ArfGAP with FG repeats 2
211977_at	0.499346	2.02e-01	1.2784202	-5.19556	0.06566639	GPR107	G protein-coupled receptor 107
207568_at	0.499369	2.02e-01	-1.27833	-5.19567	-0.08289357	CHRNA6	cholinergic receptor nicotinic alpha 6 subunit
212524_x_at	0.4994726	2.02e-01	-1.2781473	-5.19588	-0.17995525	H2AFX	H2A histone family member X
203548_s_at	0.4996024	2.02e-01	-1.2779343	-5.19614	-0.36645858	LPL	lipoprotein lipase
202159_at	0.4999059	2.02e-01	-1.2775217	-5.19663	-0.0806676	FARSA	phenylalanyl-tRNA synthetase alpha subunit
214604_at	0.4999297	2.02e-01	-1.277404	-5.19677	-0.17969063	HOXD11	homeobox D11
220569_at	0.4999297	2.03e-01	1.2773643	-5.19682	0.16250199		
212295_s_at	0.4999297	2.03e-01	1.2772299	-5.19698	0.09610895	SLC7A1	solute carrier family 7 member 1
201471_s_at	0.4999297	2.03e-01	1.2771898	-5.19702	0.07941237	SQSTM1	sequestosome 1
209014_at	0.4999297	2.03e-01	1.2770964	-5.19714	0.11606284	MAGED1	MAGE family member D1
211157_at	0.4999297	2.03e-01	1.277092	-5.19714	0.15801435		
215973_at	0.4999297	2.03e-01	-1.2770487	-5.19719	-0.17062292	HCG4B	HLA complex group 4B (non-protein coding)
219271_at	0.5003133	2.03e-01	-1.2765442	-5.19779	-0.29499695	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14
201783_s_at	0.5004276	2.03e-01	-1.2763492	-5.19803	-0.07954634	RELA	RELA proto-oncogene, NF-kB subunit
212612_at	0.5007432	2.03e-01	1.2759231	-5.19853	0.071044	RCOR1	REST corepressor 1
209408_at	0.5009529	2.03e-01	1.2756128	-5.1989	0.1353119	KIF2C	kinesin family member 2C
216572_at	0.5009529	2.03e-01	-1.2755199	-5.19901	-0.09965039	FOXL1	forkhead box L1
217764_s_at	0.5009529	2.03e-01	1.2754615	-5.19908	0.13971098	RAB31	RAB31, member RAS oncogene family
212696_s_at	0.5009529	2.03e-01	1.2753707	-5.19919	0.07305456	RNF4	ring finger protein 4
212342_at	0.5009529	2.03e-01	1.2753231	-5.19925	0.08133062	YIPF6	Yip1 domain family member 6
214349_at	0.5009529	2.03e-01	-1.2752435	-5.19934	-0.10409608		
218294_s_at	0.5009529	2.03e-01	-1.275221	-5.19937	-0.10099256	NUP50	nucleoporin 50
201527_at	0.5009529	2.03e-01	-1.2751631	-5.19944	-0.08792738	LOC101927180///ATP6V1F	V-type proton ATPase subunit F pseudogene///ATPase H+ transporting V1 subunit F
205347_s_at	0.5009529	2.03e-01	-1.2751096	-5.1995	-0.23643744	TMSB15B///TMSB15A	thymosin beta 15B///thymosin beta 15a
210503_at	0.5010777	2.03e-01	-1.2749026	-5.19975	-0.27653916	MAGEA11	MAGE family member A11
222373_at	0.5010922	2.03e-01	-1.2747861	-5.19988	-0.16183551		
211861_x_at	0.5010922	2.03e-01	-1.2747588	-5.19992	-0.26610339	CD28	CD28 molecule
219067_s_at	0.5014134	2.04e-01	1.274277	-5.20049	0.10602561	NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component
219692_at	0.5014134	2.04e-01	1.2742628	-5.20051	0.19777567	KREMEN2	kringle containing transmembrane protein 2
219644_at	0.5014912	2.04e-01	1.2741099	-5.20069	0.07343551	CEP83	centrosomal protein 83
208262_x_at	0.5015248	2.04e-01	-1.2739861	-5.20083	-0.26643556	MEFV	Mediterranean fever
201417_at	0.5015248	2.04e-01	-1.2739442	-5.20088	-0.13869295	SOX4	SRY-box 4
209703_x_at	0.5015525	2.04e-01	-1.2737599	-5.2011	-0.13059556	METTL7A	methyltransferase like 7A
221215_s_at	0.5015525	2.04e-01	-1.273728	-5.20114	-0.17704872	RIPK4	receptor interacting serine/threonine kinase 4
202955_s_at	0.5015525	2.04e-01	-1.2737216	-5.20115	-0.12485846	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1
216590_at	0.5016046	2.04e-01	-1.2735477	-5.20136	-0.15706223	GNAT3	G protein subunit alpha transducin 3
217535_at	0.5016046	2.04e-01	1.2735088	-5.2014	0.18590494		
221925_s_at	0.5016046	2.04e-01	1.2734184	-5.20151	0.1152732	CSPP1	centrosome and spindle pole associated protein 1
215753_at	0.5016046	2.04e-01	-1.2733941	-5.20154	-0.17300259		
213823_at	0.5016046	2.04e-01	1.273344	-5.2016	0.16926642	HOXA11	homeobox A11
207321_s_at	0.5018043	2.04e-01	-1.2730512	-5.20194	-0.17777022	ABCB9	ATP binding cassette subfamily B member 9
216355_at	0.5018144	2.04e-01	-1.2729257	-5.20209	-0.12534061	PCDHB17P	protocadherin beta 17 pseudogene
215830_at	0.5018144	2.04e-01	-1.2728784	-5.20215	-0.1694183	SHANK2	SH3 and multiple ankyrin repeat domains 2
